url,country_code,scope_hint,canonical_url,crawler_path,priority,notes
https://andrerieu.com/en,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0138; musicbrainz_ids=0eaa4a38-6bc3-46aa-91be-563f1fa86e16; entities=André Rieu; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=
https://andreudiport.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0139; musicbrainz_ids=6d0dabbf-9cbc-4e4b-b960-227bd5912f05; entities=Andreu Diport; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://andreudiport.com/calendar
https://andrisnelsons.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0151; musicbrainz_ids=14ced464-fd2f-4140-8fc6-c433bdd1c874; entities=Andris Nelsons; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://andrisnelsons.com/schedule/
https://angelagheorghiu.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0156; musicbrainz_ids=875705c2-152d-4ead-bfb2-16982ab419c3; entities=Angela Gheorghiu; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=
https://angelahewitt.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0157; musicbrainz_ids=d79b2e2c-2e60-4b60-a077-be40e9b65981; entities=Angela Hewitt; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://angelahewitt.com/performances/
https://anjabihlmaier.de/de/anja-bihlmaier/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0162; musicbrainz_ids=e17de239-2190-484b-96fb-77b552c11ab8; entities=Anja Bihlmaier; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=
https://annafedorova.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0163; musicbrainz_ids=2238d820-c874-4b9f-b40f-1b1e0b8c916a; entities=Anna Fedorova; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.annafedorova.com/calendar
https://annami.fi/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0165; musicbrainz_ids=51114269-ef35-4adc-a339-8186ad229540; entities=Annami Hylkilä; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=http://www.annami.fi/kalenteri.html
https://annanetrebko.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0166; musicbrainz_ids=90cba256-80b2-464f-9d58-a877a3757d3a; entities=Анна Нетребко; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://annanetrebko.com/schedule/
https://annaprohaska.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0167; musicbrainz_ids=2859b5d4-e095-4465-8604-3f7c527b5de1; entities=Anna Prohaska; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=http://www.annaprohaska.com/#calendar
https://annasamuil.de/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0168; musicbrainz_ids=ec1f4cbf-50af-4e6c-b8c9-2169abfe9eb2; entities=Anna Samuil; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=
https://annashelest.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0169; musicbrainz_ids=1bf6a8f6-8485-475b-98b2-8f8e7fe2c76c; entities=Anna Shelest; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.annashelest.com/
https://annathorvalds.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0172; musicbrainz_ids=e9b7623e-d133-4c74-b7a6-2cd025206b52; entities=Anna Sigríður Þorvaldsdóttir; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.annathorvalds.com/performances
https://annavinnitskaya.com/en/home,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0173; musicbrainz_ids=13e74cce-b798-4758-b676-0ef3d6273910; entities=Анна Винницкая; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://annavinnitskaya.com/en/concerts
https://anneakikomeyers.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0175; musicbrainz_ids=91cffe48-b682-4e2a-ad90-b09633f4a8f7; entities=Anne Akiko Meyers; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://anneakikomeyers.com/tour-dates/
https://annelienvanwauwe.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0176; musicbrainz_ids=84ea0c93-27e4-4d15-aad9-e497470a9d46; entities=Annelien Van Wauwe; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://annelienvanwauwe.com/tour/
https://annesofievonotter.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0178; musicbrainz_ids=da7c775b-ea4e-4e5f-a9a4-878574ca2c75; entities=Anne Sofie von Otter; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.annesofievonotter.com/schedule/
https://anniegosfield.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0179; musicbrainz_ids=1697dd78-614a-497e-9a10-a60f55f9eefa; entities=Annie Gosfield; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.anniegosfield.com/concerts10.html
https://anoushkashankar.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0184; musicbrainz_ids=40ee8fa3-c6d7-4556-b4e2-9f4114565043; entities=Anoushka Shankar; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.anoushkashankar.com/tour
https://anthony-bramall.de/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0185; musicbrainz_ids=a0c57d1c-8b60-4789-a01b-7a580ba74150; entities=Anthony Bramall; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=http://www.anthony-bramall.de/termine.html
https://anthonymarwood.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0186; musicbrainz_ids=8049f157-db2e-40a9-9e9a-977535981939; entities=Anthony Marwood; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.anthonymarwood.com/concerts
https://antonyhermus.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0191; musicbrainz_ids=c0786772-d022-40ee-a07e-8c285c94c43f; entities=Antony Hermus; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.antonyhermus.com/agenda
https://apollotrio.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0196; musicbrainz_ids=9bf0be2e-625b-459a-9841-b31d7fed2f0e; entities=The Apollo Trio; entity_types=Group; calendar_status=current_events; review_confidence=high; evidence=http://apollotrio.com/
https://applehill.org/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0197; musicbrainz_ids=c050e30e-6d56-416f-aac0-7e96804887ce; entities=The Apple Hill Chamber Players; entity_types=Group; calendar_status=current_events; review_confidence=high; evidence=https://applehill.org/concerts/concerts-apple-hill/
https://arcanisenkul.com/tr,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0203; musicbrainz_ids=68efea79-1b4c-456e-a3df-6a3e68727c94; entities=Arcan İsenkul; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.arcanisenkul.com/tr/calendar
https://archive.md/qLMHk,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0204; musicbrainz_ids=4f7b8dbb-c3ca-4cf5-a675-16a60e963133; entities=Elya; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://archive.md/sitemap.xml
https://arims.org.il/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0209; musicbrainz_ids=7cc89d05-3db5-4d08-bea0-9c328aa56c39; entities=Arthur Rubinstein; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://arims.org.il/upcoming-events/
https://aristosham.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0210; musicbrainz_ids=08debf9a-361e-4cc0-87dd-35ee2cd059b8; entities=Aristo Sham; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=
https://arrahman.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0217; musicbrainz_ids=e0bba708-bdd3-478d-84ea-c706413bedab; entities=A. R. Rahman; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://www.arrahman.com/performance
https://arthurandlucasjussen.com/,,,,,0,Discovered via MusicBrainz official-homepage review v2; candidates=MBURL0222; musicbrainz_ids=349feec3-a07b-4cd0-83e8-c274e1525a87; entities=Arthur Jussen; entity_types=Person; calendar_status=current_events; review_confidence=high; evidence=https://arthurandlucasjussen.com/en/agenda
